港澳,#genre#
珠江,https://ip4024712375.mobgslb.tbcache.com/tcdn.itouchtv.cn/live/gdzj.m3u8?t_token=1ba8ced19b42c379e61a646d7f43ad24-JGafYuCsEQ1zCHsN7d7rm%2BMv3wc0d6UcjZoFodk9ovFySK4rRa%2BQGrNg0EtNLA7klnwy8o1DnfKRv92SFxrXIy7NkVZZJs3ZPCCfo21o7KpYYdo0pHbS5bw72PF1D2ye6INZHPyGnxEbqs6OPwl%2BN3gaKBqJBbL8%2BA6FtCyqaWxvprE6zpez7QoP4WUH6nixFDygn6WbfrFLkSUaA7zeJ9H43nsrf4zrlg9KFZl6NFJez9L4YIKWOk9oAT7cxD1%2FP89DQCP12Xa78r%2BUAj8FNr%2B6V%2BcIPNfMN5rNutG1eEIYnQKRHJdbiqqvdAqRCJ163Sgd6l6uMa4IMHVfNJ0d9XJ8QKM7toEAz7LxyPM2hxGtP4rQYpsvTS1HtppEMODD
凤凰中文,https://0472.org/hls/fhzw.m3u8
翡翠台,https://pi.0472.org/tv/fct.php?auth=231110
明珠台,https://pi.0472.org/tv/mzt.php?auth=231110
澳视澳门,https://pi.0472.org/tv/asam.php?auth=231110
星空卫视,https://pi.0472.org/tv/startv.php?auth=231110
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=231110
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
莲花卫视,https://cntv.lat/tv/lhws.php
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
央视,#genre#
CCTV-1 综合,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv1HD
CCTV-2 财经,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv2HD
CCTV-3 综艺,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv3HD
CCTV-4 中文国际,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv4HD
CCTV-5 体育,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv5HD
CCTV-5+ 体育赛事,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv5SportHD
CCTV-6 电影,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv6HD
CCTV-7 国防军事,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv7HD
CCTV-8 电视剧,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv8HD
CCTV-9 纪录,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv9HD
CCTV-10 科教,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv10HD
CCTV-11 戏曲,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv11HD
CCTV-12 社会与法,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv12HD
CCTV-13 新闻,https://cntv.lat/tv/cctv.php?auth=231110&id=CCTVNewsHD
CCTV-14 少儿,https://cntv.lat/tv/cctv.php?auth=231110&id=cctvseHD
CCTV-15 音乐,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv15HD
CCTV-16 奥林匹克,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv16HD
CCTV-17 农业农村,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv17HD
CCTV-4K 超高清,https://cntv.lat/tv/live.php?auth=231110&id=CCTV4K
CCTV-16 奥林匹克 4K,https://cntv.lat/tv/live.php?auth=231110&id=CCTV16_4K
